Designator,Mid X,Mid Y,Layer,Rotation
C1,25.385,-6.865,top,90
C2,26.865,-9.345,top,-90
C3,34.585,-2.455,top,-90
C4,20.52,-10.95,top,180
C5,49.925,-7.525,top,-90
C6,24.14,-13.26,top,-90
C7,20.52,-10,top,180
C8,31.715,-15.515,top,0
C9,37.195,-11.105,top,0
C10,35.925,-9.445,top,-90
C11,41.855,-6.72,top,-90
C12,44.165,-8.955,top,0
C13,38.105,-7.385,top,180
C14,20.51,-9.04,top,180
C15,23.77,-7.4,top,180
C16,44.185,-11.725,top,0
C17,49.955,-11.605,top,90
C18,44.185,-10.785,top,0
D4,31.18,-2.835,top,0
D5,13.535,-6.275,top,90
D6,13.535,-16.275,top,90
J2,86.225,-4.285,top,0
J3,3.7,-4.285,top,0
Q1,24.19,-16.57,top,0
Q2,40.395,-10.875,top,0
R1,26.945,-6.875,top,90
R2,26.865,-13.225,top,-90
R3,26.875,-11.325,top,-90
R4,37.125,-13.965,top,0
R5,37.185,-12.795,top,0
R6,40.46,-14.635,top,180
R7,40.14,-8.46,top,180
R8,26.825,-16.405,top,90
R9,20.5,-12.9,top,0
R11,20.5,-11.9,top,0
R12,27.835,-16.395,top,90
R14,24.731,-10.627,top,0
R15,24.675,-11.675,top,0
R16,36.225,-7.445,top,90
R17,38.095,-8.485,top,180
R18,40.37,-6.295,top,180
U1,31.625,-10,top,0
U2,47.265,-7.995,top,0
U4,47.285,-11.765,top,0
